일차,아이콘,색깔,카테고리,장소명,영문명,주소,설명
1일차,1,빨간색,숙소,레지던스 온 랭리 파크,Residence on Langley Park,"99 Adelaide Terrace, East Perth WA, Australia",퀸베드 2개 | 호텔형 (주방 없음) | 공항에서 380번버스+도보3분
1일차,1,빨간색,관광지,퍼스 공항,Perth Airport,"Perth Airport WA, Australia",베트남→호주 도착지
1일차,1,빨간색,관광지,프리맨틀 감옥,Fremantle Prison,"The Terrace, Fremantle WA, Australia",유네스코 세계문화유산
1일차,1,빨간색,관광지,프리맨틀 마켓,Fremantle Markets,"South Terrace, Fremantle WA, Australia",수공예품 시장 (금요일 오픈!)
1일차,1,빨간색,맛집,Fisherman's Wharf,Fisherman's Wharf Fremantle,"43 Mews Road, Fremantle WA, Australia",피쉬 앤 칩스 ⭐⭐⭐⭐⭐
1일차,1,빨간색,맛집,Little Creatures Brewery,Little Creatures Brewery,"40 Mews Road, Fremantle WA, Australia",로컬 브루어리 & 가성비 세트 ⭐⭐⭐⭐
1일차,1,빨간색,맛집,Cicerello's Fish & Chips,Cicerello's Fish & Chips,"44 Mews Road, Fremantle WA, Australia",현지 유명 피쉬앤칩스 ⭐⭐⭐⭐⭐
1일차,1,빨간색,한국마트,Seoul Mart City,Seoul Mart City,"133 Barrack St, Perth WA, Australia",한국마트 - 내일 요리용 조미료 미리 확인 ⭐⭐⭐⭐⭐
1일차,1,빨간색,편의점,Coles Express,Coles Express,"Near accommodation, Perth WA, Australia",편의점 - 간식/음료 ⭐⭐⭐
1일차,1,빨간색,편의점,Woolworths Metro,Woolworths Metro,"Hay Street Mall, Perth WA, Australia",슈퍼마켓 - 간단한 즉석식품 ⭐⭐⭐⭐

2일차,2,주황색,숙소,세르반테스 피나클스 모텔,Cervantes Pinnacles Motel,"7 Aragon Street, Cervantes WA, Australia",퀸베드 1개 + 싱글베드 2개 | 완전한 주방 시설 완비
2일차,2,주황색,관광지,란셀린 사구,Lancelin Sand Dunes,"Lancelin WA, Australia",샌드보딩/쿼드바이크
2일차,2,주황색,관광지,피나클스 사막,The Pinnacles,"Nambung National Park, WA, Australia",석회암 기둥 사막
2일차,2,주황색,기타,No Bird Car Rental Perth City,No Bird Car Rental,"160 Adelaide Terrace, Perth WA, Australia",렌터카 픽업
2일차,2,주황색,한국마트,Seoul Mart City,Seoul Mart City,"133 Barrack St, Perth WA, Australia",한국 조미료 전문 - 고추장/된장/김치/쌀 ⭐⭐⭐⭐⭐
2일차,2,주황색,마트,Jurien Bay IGA,Jurien Bay IGA,"Jurien Bay WA, Australia",대형 슈퍼마켓 - 신선한 고기/야채 구매 ⭐⭐⭐⭐⭐
2일차,2,주황색,맛집,Cervantes Lobster Shack,Cervantes Lobster Shack,"30 Seville Street, Cervantes WA, Australia",신선한 랍스터 요리 ⭐⭐⭐⭐⭐
2일차,2,주황색,맛집,Cervantes Country Club,Cervantes Country Club,"Seville Street, Cervantes WA, Australia",현지 가성비 식당 ⭐⭐⭐⭐

3일차,3,노란색,숙소,디스커버리 파크스 스완 밸리,Discovery Parks - Swan Valley,"91 Benara Road, Caversham WA, Australia",퀸베드 1개 + 벙커베드 1개 + 더블베드 1개 | 간이 주방 완비
3일차,3,노란색,관광지,캐버시엄 야생동물 공원,Caversham Wildlife Park,"Whiteman Drive East, Whiteman Park WA, Australia",코알라/캥거루 체험
3일차,3,노란색,맛집,Sandalford Wines,Sandalford Wines,"3210 West Swan Road, Caversham WA, Australia",와이너리 카페 (점심세트 가성비) ⭐⭐⭐⭐
3일차,3,노란색,맛집,Swan Valley Chocolate Company,Swan Valley Chocolate Company,"5123 West Swan Road, West Swan WA, Australia",수제 초콜릿 ⭐⭐⭐⭐⭐
3일차,3,노란색,맛집,Lamont's Swan Valley,Lamont's Swan Valley,"85 Bisdee Road, Millendon WA, Australia",가성비 브런치 & 카페 ⭐⭐⭐⭐
3일차,3,노란색,마트,Coles Swan Valley,Coles Swan Valley,"West Swan Road, Caversham WA, Australia",추가 식재료 필요시 구매 (내일 요리용) ⭐⭐⭐⭐⭐

4일차,4,초록색,숙소,디 애드네이트 퍼스 아트 시리즈,The Adnate Perth - Art Series,"1/2 King Street, Perth WA, Australia",더블베드 2개 | 호텔형 (주방 없음)
4일차,4,초록색,관광지,킹스 파크,Kings Park and Botanic Garden,"Fraser Avenue, Kings Park WA, Australia",도시 전망/식물원
4일차,4,초록색,관광지,엘리자베스 키,Elizabeth Quay,"Elizabeth Quay, Perth WA, Australia",스완강 워터프론트
4일차,4,초록색,관광지,스완 벨 타워,The Bell Tower,"Barrack Square, Perth WA, Australia",벨타워
4일차,4,초록색,관광지,퍼스 민트,Perth Mint,"Hay Street, East Perth WA, Australia",금 주조 시연
4일차,4,초록색,관광지,헤이 스트리트 몰,Hay Street Mall,"Hay Street Mall, Perth WA, Australia",쇼핑몰
4일차,4,초록색,관광지,런던 코트,London Court,"London Court, Perth WA, Australia",쇼핑 아케이드
4일차,4,초록색,맛집,Tiger Tiger,Tiger Tiger,"108 Murray Street, Perth WA, Australia",가성비 아시안 퓨전 ⭐⭐⭐⭐
4일차,4,초록색,맛집,Dumpling Plus,Dumpling Plus,"Shop 5/6 Roe Street, Northbridge WA, Australia",현지인 추천 딤섬 ⭐⭐⭐⭐⭐

5일차,5,파란색,숙소,노보텔 퍼스 머레이 스트리트,Novotel Perth Murray Street,"388 Murray Street, Perth WA, Australia",더블베드 2개 | 호텔형 (주방 없음)
5일차,5,파란색,관광지,코테슬로 비치,Cottesloe Beach,"Cottesloe Beach, Cottesloe WA, Australia",세계적인 일몰 명소 🌅 퍼스 최고의 비치 - 완전 휴양 데이
5일차,5,파란색,맛집,Indiana Tea House,Indiana Tea House,"99 Marine Parade, Cottesloe WA, Australia",비치 카페 & 레스토랑 ⭐⭐⭐⭐⭐
5일차,5,파란색,맛집,Cicerello's Fish & Chips,Cicerello's Fish & Chips,"44 Mews Road, Cottesloe WA, Australia",현지 유명 피쉬앤칩스 ⭐⭐⭐⭐⭐
5일차,5,파란색,맛집,Bib & Tucker,Bib & Tucker,"3 Jarrad Street, Cottesloe WA, Australia",비치사이드 브런치 카페 ⭐⭐⭐⭐

6일차,6,보라색,숙소,포 포인트 바이 쉐라톤 퍼스,Four Points by Sheraton Perth,"707 Wellington Street, Perth WA, Australia",더블베드 2개 (2박) | 호텔형 (주방 없음)
6일차,6,보라색,관광지,퍼스 페리 터미널,Perth Ferry Terminal,"Barrack Square, Perth WA, Australia",로트네스트 섬 페리 출발지
6일차,6,보라색,관광지,로트네스트 섬,Rottnest Island,"Rottnest Island WA, Australia",쿼카 서식지
6일차,6,보라색,맛집,Thomsons Restaurant,Thomsons Restaurant,"Rottnest Island WA, Australia",섬 내 메인 레스토랑 ⭐⭐⭐⭐
6일차,6,보라색,맛집,Geordie Bay Cafe,Geordie Bay Cafe,"Rottnest Island WA, Australia",해변가 가성비 카페 ⭐⭐⭐⭐
6일차,6,보라색,맛집,Hotel Rottnest,Hotel Rottnest,"Rottnest Island WA, Australia",섬 내 펍 스타일 식당 ⭐⭐⭐⭐

7일차,7,갈색,관광지,킹스 파크,Kings Park and Botanic Garden,"Fraser Avenue, Kings Park WA, Australia",재방문 - 쇼핑 전 마지막 관광
7일차,7,갈색,맛집,University Cafe,University Cafe,"Hackett Drive, Crawley WA, Australia",현지인 추천 브런치 ⭐⭐⭐⭐
7일차,7,갈색,맛집,Tak Chee House,Tak Chee House,"Shop 15A, 200 William Street, Northbridge WA, Australia",가성비 중식당 ⭐⭐⭐⭐⭐
7일차,7,갈색,맛집,Shui Dumpling Bar,Shui Dumpling Bar,"Multiple Locations, Perth WA, Australia",베트남 스타일 만두 ⭐⭐⭐⭐⭐

8일차,8,검은색,관광지,퍼스 공항,Perth Airport,"Perth Airport WA, Australia",호텔픽업서비스로 이동→베트남 귀국 
