일차,아이콘번호,카테고리,장소명,영문명,주소,설명
1일차,1,숙소,레지던스 온 랭리 파크,Residence on Langley Park,"99 Adelaide Terrace, East Perth WA, Australia",퀸베드 2개 | 첫날 숙소
1일차,1,관광지,퍼스 공항,Perth Airport,"Perth Airport WA, Australia",도착지
1일차,1,관광지,엘리자베스 키,Elizabeth Quay,"Elizabeth Quay, Perth WA, Australia",스완강 워터프론트
1일차,1,관광지,스완 벨 타워,The Bell Tower,"Barrack Square, Perth WA, Australia",벨타워
1일차,1,관광지,퍼스 민트,Perth Mint,"Hay Street, East Perth WA, Australia",금 주조 시연
1일차,1,관광지,헤이 스트리트 몰,Hay Street Mall,"Hay Street Mall, Perth WA, Australia",쇼핑몰
1일차,1,관광지,런던 코트,London Court,"London Court, Perth WA, Australia",쇼핑 아케이드
1일차,1,맛집,Wildflower Restaurant,Wildflower Restaurant,"Level 33, COMO The Treasury, 1 Cathedral Avenue, Perth WA, Australia",고급 호주 요리 ⭐⭐⭐⭐⭐
1일차,1,맛집,Woolworths,Woolworths,"Hay Street Mall, Perth WA, Australia",대형 슈퍼마켓

2일차,2,숙소,세르반테스 피나클스 모텔,Cervantes Pinnacles Motel,"7 Aragon Street, Cervantes WA, Australia",퀸베드 1개 + 싱글베드 2개
2일차,2,관광지,란셀린 사구,Lancelin Sand Dunes,"Lancelin WA, Australia",샌드보딩/쿼드바이크
2일차,2,관광지,피나클스 사막,The Pinnacles,"Nambung National Park, WA, Australia",석회암 기둥 사막
2일차,2,기타,No Bird Car Rental Perth City,No Bird Car Rental,"160 Adelaide Terrace, Perth WA, Australia",렌터카 픽업
2일차,2,맛집,Cervantes Lobster Shack,Cervantes Lobster Shack,"30 Seville Street, Cervantes WA, Australia",신선한 랍스터 요리 ⭐⭐⭐⭐⭐
2일차,2,맛집,Sea Breeze Cafe,Sea Breeze Cafe,"Cervantes WA, Australia",현지 카페

3일차,3,숙소,디스커버리 파크스 스완 밸리,Discovery Parks - Swan Valley,"91 Benara Road, Caversham WA, Australia",퀸베드 1개 + 벙커베드 1개 + 더블베드 1개
3일차,3,관광지,캐버시엄 야생동물 공원,Caversham Wildlife Park,"Whiteman Drive East, Whiteman Park WA, Australia",코알라/캥거루 체험
